timestamp,type,value,rr_interval_sec
2026-03-03 10:52:57.013,SpO2,229852392206534256026932650,
2026-03-03 10:52:57.073,SpO2,31574297876994823193318826,
2026-03-03 10:52:57.133,SpO2,9207179171334004540793902506,
2026-03-03 10:52:57.163,SpO2,69246155756688810,
2026-03-03 10:52:57.193,SpO2,325843287320346378589610,
2026-03-03 10:52:57.194,SpO2,189929376181515795175527850,
2026-03-03 10:52:57.283,SpO2,139329588612169643091514794,
2026-03-03 10:52:57.433,SpO2,251892824690127502775899562,
2026-03-03 10:52:57.493,SpO2,287975732922208011974301098,
2026-03-03 10:52:57.583,SpO2,65528483125550604966909354,
2026-03-03 10:52:57.674,SpO2,180329120163859579020465578,
2026-03-03 10:52:57.793,SpO2,78712978773331549004715434,
2026-03-03 10:52:57.831,heartbeat,84,0.7568359375
2026-03-03 10:52:57.883,SpO2,59370109956995970937869738,
2026-03-03 10:52:58.004,SpO2,275763072335704507131319722,
2026-03-03 10:52:58.094,SpO2,218023529402358184289457578,
2026-03-03 10:52:58.184,SpO2,9207179171334004540793902506,
2026-03-03 10:52:58.185,SpO2,69246155756688810,
2026-03-03 10:52:58.213,SpO2,325843287320346378589610,
2026-03-03 10:52:58.214,SpO2,111629040222933383050646954,
2026-03-03 10:52:58.303,SpO2,193669990922997145751475626,
2026-03-03 10:52:58.393,SpO2,46190466454251603248502186,
2026-03-03 10:52:58.484,SpO2,2579116115625984549410218,
2026-03-03 10:52:58.604,SpO2,43616184473226334180431274,
2026-03-03 10:52:58.693,SpO2,263612256703521630362490282,
2026-03-03 10:52:58.813,SpO2,302231454903662799943062954,
2026-03-03 10:52:58.821,heartbeat,83,0.78125
2026-03-03 10:52:58.821,heartbeat,83,0.7763671875
2026-03-03 10:52:58.903,SpO2,215790885524969253243934122,
2026-03-03 10:52:58.994,SpO2,231506924013417389968283050,
2026-03-03 10:52:59.084,SpO2,175593133586301253873259946,
2026-03-03 10:52:59.143,SpO2,9207179171334004540793902506,
2026-03-03 10:52:59.172,SpO2,69246155756688810,
